"aX,aY,aZ,gX,gY,gZ"
"-0.089233,-1.047852,-0.428467,-11.291503,6.530761,-38.146973"
"-0.079590,-0.951904,-0.453491,-9.094238,6.286621,-28.686522"
"-0.035400,-0.934204,-0.581543,-8.239746,-0.793457,-31.127928"
"-0.074951,-0.950439,-0.507568,1.281738,-9.399414,-28.564451"
"-0.133545,-0.910156,-0.273926,19.775391,-21.057127,-21.911619"
"-0.123779,-0.946655,-0.245605,-3.051758,-13.305663,-24.780272"
"-0.091675,-1.040771,-0.320313,-21.301268,-8.728027,-24.291990"
"-0.079468,-0.973511,-0.399536,-40.039062,-6.774902,-15.197753"
"-0.059937,-0.950684,-0.468506,-36.071777,-9.521484,-13.732909"
"-0.069214,-1.002319,-0.457764,-23.803709,-21.789549,-16.357422"
"-0.097656,-1.067505,-0.320557,-19.775391,-32.104492,-7.873535"
"-0.094604,-1.128906,-0.273315,-20.629881,-32.531738,-2.746582"
"-0.082520,-1.123779,-0.261230,-19.836426,-31.372068,10.986327"
"-0.077393,-1.038086,-0.257324,-16.296387,-29.479979,22.094725"
"-0.058228,-0.862427,-0.309448,-10.070800,-26.367186,20.996092"
"-0.037598,-0.910522,-0.394531,-1.037598,-25.878904,3.417969"
"-0.042236,-0.985107,-0.407349,-7.446289,-35.461426,-9.399414"
"-0.052368,-1.154175,-0.284912,-9.765625,-41.503902,-7.080078"
"-0.071655,-1.148804,-0.206543,-1.525879,-39.001465,1.708984"
"-0.055908,-0.953613,-0.203125,30.090330,-36.560059,19.775391"
"-0.025879,-0.911743,-0.081665,77.941895,-2.319336,22.583006"
"-0.005737,-0.724243,-0.843628,67.932129,18.615723,16.235352"
"0.017822,-0.974487,-0.466309,3.723144,-58.288570,-28.930662"
"-0.038086,-1.074951,-0.375610,-29.174803,-68.176270,-28.198240"
"-0.054321,-1.083374,-0.299438,-31.616209,-67.565918,-21.118162"
"-0.079468,-1.011475,-0.203979,-22.155760,-58.776852,-18.066406"
"-0.060059,-0.981689,-0.314941,4.516602,-38.574219,-18.554687"
"-0.024780,-1.125122,-0.434204,16.479492,-33.569336,-23.315428"
"-0.030884,-1.213867,-0.403442,15.136718,-45.227047,-18.249512"
"-0.055298,-1.335571,-0.314697,29.235838,-48.278805,9.094238"
"-0.045776,-1.163330,-0.423706,32.531738,-49.011227,23.193357"
"-0.034424,-1.132202,-0.476074,21.850584,-59.570309,29.541014"
"-0.043091,-1.212891,-0.430176,23.742674,-72.509766,31.799314"
"-0.080200,-1.247681,-0.185425,47.668453,-63.720699,48.583981"
"-0.072876,-1.137085,-0.221802,48.522945,-53.955074,54.504391"
"-0.058716,-1.086182,-0.164429,29.602049,-54.748531,56.762691"
"-0.050781,-1.096313,-0.159912,-0.854492,-42.602535,55.969234"
"0.011963,-1.056396,-0.395630,-7.873535,-38.391113,58.044430"
"0.030762,-1.055908,-0.361450,9.338379,-56.396481,61.889645"
"0.027100,-1.047607,-0.230103,22.705076,-68.298340,69.213867"
"0.057861,-0.972900,-0.120728,9.765625,-55.541988,72.509766"
"0.111328,-0.924072,-0.161865,-0.976562,-49.621578,70.739746"
"0.148437,-0.858154,-0.123413,-10.375976,-43.029781,67.871094"
"0.163940,-0.821899,-0.103760,-2.014160,-32.958984,67.626953"
"0.155151,-0.783936,-0.011597,4.516602,-26.977537,67.260742"
"0.168945,-0.825562,0.007935,8.361816,-8.239746,65.124512"
"0.213013,-0.808350,-0.075684,-25.146482,20.568846,61.584469"
"0.312988,-0.833374,-0.346069,-88.500969,31.799314,47.668453"
"0.357056,-0.785278,-0.474609,-99.792473,25.634764,45.776363"
"0.311401,-0.678101,-0.255615,-86.853020,4.394531,42.480465"
"0.301636,-0.676880,-0.090454,-65.185547,2.136230,30.761717"
"0.298462,-0.689819,-0.018311,-57.617184,10.620116,25.024412"
"0.318726,-0.793091,-0.098145,-49.377438,21.240232,14.587401"
"0.310669,-0.841919,-0.117798,-52.246090,22.338865,12.207030"
"0.275513,-0.791870,-0.018066,-67.077637,22.460936,7.934570"
"0.271362,-0.766846,0.016235,-71.838379,26.733397,4.333496"
"0.290894,-0.737671,-0.109497,-66.650391,38.574219,2.868652"
"0.300903,-0.716919,-0.177246,-36.926270,40.954586,4.211426"
"0.315186,-0.681519,-0.206787,-19.042969,36.743164,2.990722"
"0.293823,-0.785645,-0.084229,8.056641,28.564451,0.366211"
"0.275879,-0.862915,-0.013794,-5.859375,42.602535,3.601074"
"0.279907,-0.955444,-0.071777,-47.546383,67.504883,11.657714"
"0.279663,-0.779785,-0.268677,-49.499508,68.664551,19.531250"
"0.251831,-0.452148,-0.207031,-33.386230,46.752926,23.254393"
"0.229492,-0.402710,-0.070068,-10.559081,35.583496,1.892090"
"0.265991,-0.559204,-0.056274,-12.939452,62.499996,-19.775391"
"0.273560,-0.841187,-0.333252,-21.118162,68.481445,-24.841307"
"0.248413,-0.856567,-0.313721,-21.789549,53.588863,-17.272949"
"0.228027,-0.734375,-0.258423,-14.343261,44.616695,-9.277344"
"0.179810,-0.465088,-0.151489,-10.986327,47.729488,-27.832029"
"0.175903,-0.458496,-0.196167,-11.840819,52.917477,-42.846676"
"0.158691,-0.843872,-0.331421,-11.840819,58.532711,-68.481445"
"0.159790,-1.052124,-0.357788,-20.263670,53.222652,-62.194820"
"0.147705,-1.058960,-0.355347,-22.521971,49.377438,-46.752926"
"0.103394,-0.748657,-0.364624,-16.723633,43.090816,-23.376463"
"0.072998,-0.675171,-0.342163,8.239746,34.423828,-27.709959"
"0.076050,-0.731201,-0.342651,14.953612,29.296873,-35.583496"
"0.100830,-0.967529,-0.387695,3.845215,27.038572,-38.146973"
"0.071899,-1.049316,-0.272705,-25.451658,23.071287,-33.935547"
"0.058960,-0.989014,-0.232422,-36.132812,31.616209,-25.207518"
"0.064087,-0.820923,-0.296875,-32.409668,37.902832,-24.719236"
"0.081177,-0.865967,-0.443848,0.793457,46.691891,-30.578611"
"0.068481,-1.004272,-0.473755,41.870113,42.480465,-27.587889"
"0.058960,-0.999634,-0.456421,32.714844,30.334471,-20.263670"
"0.084961,-0.852905,-0.501465,11.291503,25.451658,-24.291990"
"0.067383,-1.010986,-0.435059,-16.662598,15.502929,-48.278805"
"0.038452,-0.994385,-0.423462,5.859375,26.306150,-44.189449"
"0.015259,-1.030884,-0.517700,27.648924,24.841307,-45.349117"
"0.005493,-1.112427,-0.441528,41.687008,22.766111,-39.733887"
"-0.003540,-0.970703,-0.499512,59.020992,28.442381,-25.817869"
"0.000977,-0.965088,-0.620728,35.095215,25.634764,-28.259275"
"0.010376,-0.944702,-0.634399,20.751951,11.474608,-28.747557"
"0.015259,-0.836670,-0.598999,25.024412,5.920410,-31.005857"
"-0.029419,-0.932617,-0.504272,20.812986,-0.427246,-42.297359"
"-0.088257,-0.970215,-0.504272,11.291503,-0.671387,-37.109375"
