aX,aY,aZ,gX,gY,gZ
-0.189453,0.997559,0.075317,-5.859375,3.906250,-8.850098
-0.181030,0.962891,0.103638,-10.681151,7.202148,-6.713867
-0.168335,0.999634,0.028564,-9.033203,13.610839,-3.479004
-0.157104,0.993896,-0.005249,-10.559081,13.427733,-5.859375
-0.161377,1.005859,0.006714,-14.587401,12.878417,-8.483887
-0.168701,0.981323,-0.003784,-13.977050,15.441894,-9.582520
-0.162476,0.950073,-0.004883,-13.977050,16.052246,-8.483887
-0.159668,1.003174,-0.032104,-15.258788,18.371582,-5.432128
-0.158447,0.991089,-0.102173,-13.977050,18.737793,-6.652832
-0.162964,0.968506,-0.117798,-11.962890,9.521484,-3.723144
-0.177246,1.022827,0.028931,-10.314940,9.521484,-3.540039
-0.165405,1.018311,-0.035278,-3.845215,20.141600,-5.920410
-0.153564,1.002563,-0.122070,-8.483887,26.367186,-8.544922
-0.143066,0.992432,-0.225952,-11.840819,24.108885,-8.972168
-0.144531,1.015503,-0.183960,-7.934570,14.038085,-9.277344
-0.150146,1.027344,-0.107056,-5.920410,6.042480,-12.023925
-0.144653,0.984253,0.010254,-6.591796,12.329101,-15.869140
-0.115723,0.950806,-0.059937,-3.479004,18.249512,-15.502929
-0.114136,0.947998,-0.135864,-2.807617,25.512693,-14.404296
-0.115601,0.959717,-0.178833,-12.084960,27.099607,-10.864257
-0.102173,1.005005,-0.297119,-12.023925,25.756834,-10.314940
-0.083496,0.971924,-0.284180,-6.958007,17.395020,-10.803222
-0.084351,0.994629,-0.267334,-9.704590,10.803222,-10.925292
-0.096436,0.948120,-0.156616,-5.615234,11.718749,-10.620116
-0.090942,0.929810,-0.194336,-2.685547,15.686034,-8.544922
-0.079956,0.990967,-0.279053,-3.601074,16.296387,-5.981445
-0.075806,0.968140,-0.282471,-0.854492,10.314940,-8.361816
-0.068604,0.915161,-0.238892,-4.821777,8.850098,-3.295898
-0.063965,0.965576,-0.274780,-5.615234,9.033203,-1.403808
-0.067871,0.949951,-0.225708,-6.408691,5.432128,-2.197266
-0.075439,0.946655,-0.201416,-6.408691,5.493164,-1.464844
-0.088623,0.951294,-0.211426,-14.099120,7.141113,0.244141
-0.086548,0.950684,-0.243652,-18.127441,7.385253,0.793457
-0.081299,0.946045,-0.238403,-18.005371,6.042480,2.014160
-0.078491,0.969360,-0.245972,-14.587401,7.263183,3.234863
-0.080078,0.983887,-0.335938,-14.770507,2.441406,0.793457
-0.087036,0.963501,-0.287109,-15.441894,-2.441406,1.586914
-0.088013,0.969238,-0.246704,-13.671874,-6.042480,3.051758
-0.088501,0.954590,-0.247314,-5.249023,-6.347656,3.540039
-0.088623,0.963867,-0.244507,-2.136230,-6.652832,3.906250
-0.094238,0.936401,-0.218506,-3.417969,-6.958007,4.760742
-0.096436,0.966431,-0.231567,-2.502441,-5.371093,7.263183
-0.101440,0.992310,-0.302368,5.615234,-10.192870,5.615234
-0.106201,0.973633,-0.260498,6.469726,-14.587401,4.943848
-0.112793,0.945190,-0.203003,7.019042,-18.066406,6.042480
-0.113403,0.943359,-0.190063,13.305663,-17.639160,10.681151
-0.113159,0.968018,-0.148804,9.277344,-15.808105,12.268065
-0.122070,1.001343,-0.148804,7.446289,-14.770507,11.596679
-0.122925,0.964478,-0.186523,12.939452,-13.000487,8.422852
-0.120361,0.968872,-0.205444,13.061522,-14.648437,9.887695
-0.127441,1.012695,-0.204346,10.070800,-16.357422,9.582520
-0.135254,0.972412,-0.167847,8.178711,-18.981934,7.385253
-0.133789,0.958374,-0.149536,9.704590,-18.859863,10.009766
-0.132812,0.976196,-0.126587,10.192870,-18.066406,11.535644
-0.136963,0.979248,-0.118652,10.986327,-16.174316,10.742187
-0.134644,0.973999,-0.158569,11.779784,-13.305663,10.253905
-0.143188,0.975220,-0.181885,18.676758,-15.319823,9.704590
-0.149780,0.971069,-0.155273,21.606443,-20.141600,10.375976
-0.161133,0.999634,-0.069946,18.554687,-20.874022,10.925292
-0.170166,1.012329,-0.010986,16.540527,-19.653320,8.239746
-0.175537,1.017334,0.029785,18.310547,-16.601562,4.943848
-0.179199,1.000977,-0.000122,16.784668,-9.277344,4.516602
-0.179687,0.981812,-0.057739,14.282226,-9.521484,5.310058
-0.190674,1.006592,0.010376,6.774902,-12.145995,8.483887
-0.190552,1.040161,0.001831,7.446289,-7.873535,7.690429
-0.190674,1.024902,-0.033691,10.009766,-7.751464,4.943848
-0.200806,1.038696,0.036377,8.605957,-10.864257,3.540039
-0.202637,1.049683,0.059692,10.681151,-8.117676,1.159668
-0.204468,1.012085,0.046265,9.521484,-3.479004,0.610352
-0.199707,1.039551,0.043701,7.141113,-2.929687,0.366211
-0.198120,1.031494,0.063599,2.075195,-1.586914,-2.502441
-0.199463,1.028076,0.058594,4.150391,0.732422,-6.164550
-0.195679,0.999634,0.067627,3.967285,1.647949,-7.324218
-0.182373,0.976685,0.096558,-4.577637,3.967285,-6.835937
-0.170044,0.980591,0.061157,-15.075683,11.291503,-4.882812
-0.159912,0.967163,0.003662,-16.601562,17.028809,-3.845215
-0.145386,0.972412,-0.062988,-14.648437,15.869140,-3.051758
-0.145386,0.999268,-0.046875,-8.728027,11.291503,-4.272461
-0.143677,0.992310,-0.047607,-4.333496,11.779784,-7.568359
-0.144653,0.935425,-0.082520,-3.173828,13.610839,-6.774902
-0.157349,0.923706,-0.085205,-5.798339,13.427733,-4.028320
-0.158203,0.984619,-0.053101,-12.634276,14.221190,1.892090
-0.150879,1.011597,-0.076782,-9.155273,18.005371,0.671387
-0.154907,1.047974,-0.151245,-8.117676,16.845703,-4.699707
-0.172729,1.068237,-0.205200,-5.493164,13.122558,-7.690429
-0.171997,0.991699,-0.081177,-3.723144,2.868652,-12.817382
-0.167236,0.996704,-0.061890,-3.662109,5.676269,-11.535644
-0.163818,0.944824,-0.045410,-4.394531,9.643555,-8.789063
-0.159546,1.016357,-0.035767,-7.202148,13.977050,-5.798339
-0.140015,1.054810,-0.173950,-6.652832,20.385740,-8.056641
-0.135254,1.014771,-0.157471,0.793457,13.427733,-14.465331
-0.115356,0.976074,-0.136719,0.122070,13.061522,-14.709472
-0.105835,0.959473,-0.175171,-4.760742,14.465331,-13.000487
-0.105103,0.983398,-0.172974,-5.004883,13.854980,-11.108397
-0.103516,0.957520,-0.135010,-8.239746,15.747069,-11.779784
-0.093750,0.957031,-0.223755,-10.375976,18.554687,-9.704590
-0.078857,0.971680,-0.334961,-5.737304,16.662598,-7.324218
-0.074707,0.971069,-0.296265,-4.150391,6.103515,-7.385253
-0.079224,0.949707,-0.208496,-8.789063,5.859375,-6.591796
-0.082031,0.920532,-0.215698,-9.338379,7.385253,-5.004883
-0.077515,0.943115,-0.235840,-7.385253,8.117676,-1.708984
-0.077026,0.949585,-0.252075,-11.230468,7.141113,-0.976562
-0.077759,0.953003,-0.284302,-11.779784,5.493164,-0.671387
-0.078247,0.942871,-0.282104,-8.361816,0.976562,0.549316
-0.078735,0.951050,-0.251343,-5.920410,-2.807617,3.112793
