"aX,aY,aZ,gX,gY,gZ"
"0.115601,0.143311,0.251465,98.693840,-365.966766,246.643051"
"-0.124390,0.499023,0.751465,63.110348,-316.589355,184.020981"
"0.031128,0.623901,1.689697,45.532223,-262.817383,149.902344"
"0.150879,0.739868,1.749268,53.588863,-97.839348,99.609367"
"0.116577,0.793579,1.476318,33.508301,19.470215,57.067867"
"0.066040,0.863892,1.201172,25.695799,37.292480,29.907225"
"0.058105,0.916138,1.410278,38.818359,54.321285,-45.043941"
"0.014038,0.925659,1.555908,46.752926,126.159660,-124.572746"
"-0.082520,0.991821,1.566895,46.936031,248.168930,-198.547348"
"-0.108765,0.858521,1.502319,28.869627,309.326172,-235.046371"
"-0.075317,0.478516,1.388916,-4.943848,437.561005,-285.644531"
"-0.056641,0.278320,1.201050,-28.198240,564.025879,-301.147461"
"0.062744,0.145996,0.570557,-84.167473,602.233887,-314.514160"
"0.144897,-0.515747,-0.260864,-325.500458,585.571289,-406.127899"
"0.241455,-0.612671,-0.693359,-121.826164,379.943817,-366.149872"
"0.530518,-0.767334,-0.625854,-68.115234,253.112778,-324.523895"
"0.802979,-0.919067,-0.425781,-67.138672,148.071289,-247.314438"
"1.016357,-1.139038,-0.742798,93.383781,140.502930,-203.979477"
"1.293823,-1.400635,-1.343872,39.306641,65.612793,-82.397453"
"1.241089,-1.161255,-1.095215,-39.978027,20.141600,-16.906738"
"1.106079,-0.980469,-0.646240,-87.036125,-31.860350,65.185547"
"1.077271,-1.005859,-0.563721,-57.861324,-65.246582,133.911133"
"1.069702,-1.000244,-0.586426,-38.879395,-89.782707,178.283676"
"0.956299,-0.932495,-1.113281,5.859375,-151.428223,260.742187"
"0.631470,-0.748535,-0.857178,157.287598,-352.844208,308.532715"
"0.482910,-0.580078,-0.526123,224.731430,-400.024384,318.054199"
"0.159180,-0.182983,-0.643921,188.537582,-382.141083,307.556152"
"0.017944,0.089966,-0.382446,96.252434,-421.997040,263.793945"
"0.078369,0.108276,-0.011475,19.042969,-458.068817,205.566391"
"0.245605,0.050171,0.655151,-23.986814,-437.561005,189.819321"
"0.069214,0.343750,0.827881,-46.081539,-347.106903,187.561020"
"-0.037720,0.533203,0.839478,1.892090,-277.099609,154.724121"
"-0.097046,0.658447,1.057739,-16.418457,-240.051254,98.205559"
"0.002808,0.792603,1.908203,-29.785154,-207.458481,77.758789"
"-0.070557,1.289551,2.834595,-8.422852,-37.109375,-4.821777"
"-0.191284,1.397705,2.999756,37.536621,243.041977,-159.362793"
"-0.337646,1.016113,2.243042,40.100098,372.314423,-229.370102"
"-0.389404,0.501465,0.760254,-10.498046,508.178680,-308.837891"
"-0.288330,0.362183,0.260986,-60.668941,456.298798,-366.821259"
"0.034180,-0.218140,0.073853,-61.279293,399.047821,-386.840790"
"0.177368,-0.302856,0.265625,-59.753414,340.881317,-350.646942"
"0.183716,-0.283569,0.194458,-88.745110,361.877411,-340.820282"
"0.481689,-0.772461,-0.261719,1.098633,371.032684,-364.868134"
"0.815063,-1.387207,-1.047241,94.726555,357.727020,-319.213867"
"1.262207,-1.375977,-1.835449,166.564926,294.860840,-155.029297"
"1.410400,-1.241821,-2.091187,-8.300781,133.117676,-18.798828"
"1.195068,-0.966187,-1.588989,-223.754868,-100.463860,48.217770"
"0.908325,-0.923584,-0.529541,-204.406723,-186.279282,70.800781"
"0.941528,-0.933472,-0.252563,-19.958496,-249.633774,130.187988"
"0.989624,-0.904175,-0.300171,88.317863,-260.375977,193.786606"
"0.828857,-0.684937,-0.283936,101.318352,-266.479492,219.787582"
"0.604980,-0.373169,-0.057739,115.722649,-277.038574,242.858871"
"0.540771,-0.242676,0.013428,148.986816,-263.000488,220.703110"
"0.493164,-0.048950,0.098755,122.253410,-247.863754,202.331528"
"0.469238,0.092651,0.288452,-16.967773,-219.909653,167.968735"
"0.496948,0.113892,0.469849,-83.801262,-200.134262,132.690430"
"0.649902,0.057129,0.759521,-43.945309,-158.325195,109.130852"
"0.709595,0.037720,0.696167,-7.812500,-137.329102,105.041496"
"0.548706,0.223877,0.634644,50.415035,-132.446289,95.581047"
"0.508545,0.291016,0.774780,25.024412,-134.277344,53.344723"
"0.616455,0.269653,1.167725,3.784179,-110.229485,26.428221"
"0.724121,0.229980,1.264893,-8.789063,-21.545408,-14.892577"
"0.717529,0.254028,1.162842,-43.273922,52.429195,-36.132812"
"0.669434,0.298096,0.846069,-47.180172,67.016602,-48.522945"
"0.759033,0.083374,0.643188,-19.592285,66.345215,-74.829102"
"0.859131,-0.042236,0.548828,18.188477,60.485836,-66.955566"
"0.958130,-0.082275,0.359253,12.268065,43.518063,-40.832516"
"0.927979,-0.002563,0.441772,-10.437011,29.785154,-34.301758"
"0.879150,0.062988,0.658447,-40.039062,18.005371,-30.883787"
"0.854248,0.094360,0.703125,-46.203609,36.560059,-34.912109"
"0.819946,0.121216,0.675659,-51.086422,46.630856,-41.137691"
