"aX,aY,aZ,gX,gY,gZ"
"0.119141,-0.605469,0.108643,34.179687,-8.178711,258.117676"
"0.323608,-0.274902,-0.126221,7.141113,27.709959,221.984848"
"0.417725,-0.396729,-0.315796,-6.774902,46.630856,157.348633"
"0.465454,-0.978271,-0.502075,5.249023,36.132812,143.920898"
"0.390015,-0.850830,-0.210693,62.072750,-7.995605,178.588852"
"0.388306,-0.513306,0.001709,67.382812,-19.042969,196.838364"
"0.496460,-0.008789,0.034424,7.141113,21.301268,142.761230"
"0.626099,-0.136230,-0.333008,-15.136718,34.606934,106.018059"
"0.678223,-0.432373,-0.495361,-15.808105,22.033689,66.894531"
"0.672729,-0.410278,-0.412964,0.488281,-10.681151,66.345215"
"0.665894,-0.281860,-0.205322,-6.042480,-16.052246,59.265133"
"0.672485,-0.286621,-0.182861,-20.568846,-11.962890,35.095215"
"0.682251,-0.235229,-0.191162,-22.888182,-10.437011,15.563964"
"0.692505,-0.175171,-0.189819,-27.160643,-9.338379,-13.977050"
"0.678101,-0.301025,-0.177246,-31.066893,-8.911133,-29.602049"
"0.665649,-0.465820,-0.188232,-34.118652,-9.338379,-48.400875"
"0.659668,-0.488037,-0.192261,-35.278320,-13.977050,-51.635738"
"0.643799,-0.467773,-0.145752,-40.344234,-17.272949,-56.457516"
"0.623901,-0.421387,-0.117676,-41.870113,-15.747069,-62.133785"
"0.603638,-0.516235,-0.093872,-44.128414,-11.901855,-78.857422"
"0.595947,-0.563354,-0.090332,-42.297359,-8.117676,-88.134758"
"0.584351,-0.581787,-0.109009,-45.471188,-5.920410,-95.520012"
"0.572754,-0.666260,-0.117798,-43.640133,-4.699707,-100.219719"
"0.548096,-0.797729,-0.150146,-29.602049,-4.455566,-101.928703"
"0.506470,-0.719727,-0.073486,-11.840819,-14.648437,-90.026848"
"0.489258,-0.691650,-0.019653,-10.131835,-15.319823,-91.796867"
"0.461792,-0.789673,0.010620,-13.061522,-6.347656,-96.679680"
"0.444824,-0.759521,-0.037354,-17.700195,-2.685547,-96.191399"
"0.424805,-0.771118,-0.103149,-29.296873,-0.671387,-102.050774"
"0.410156,-0.815308,-0.107300,-17.700195,-7.080078,-105.407707"
"0.385376,-0.923340,-0.098389,-10.803222,-10.192870,-103.271477"
"0.333862,-0.873657,-0.043091,-4.333496,-16.357422,-93.322746"
"0.302979,-0.882080,0.031616,-11.352538,-15.319823,-95.520012"
"0.292480,-0.932373,-0.007324,-11.474608,-6.225585,-101.196281"
"0.289551,-0.906738,0.010498,-2.075195,-3.417969,-101.562492"
"0.246948,-0.891357,-0.081909,-1.831055,6.591796,-104.003899"
"0.230591,-0.923706,-0.132812,-3.540039,-1.647949,-102.172844"
"0.213257,-0.989258,-0.121704,-6.225585,-11.962890,-101.257317"
"0.160156,-1.038696,-0.023560,-3.540039,-14.526366,-92.651360"
"0.126831,-0.971558,0.027710,-2.441406,-10.375976,-91.674797"
"0.113770,-0.957031,-0.073730,1.708984,-1.708984,-94.299309"
"0.095947,-0.906860,-0.106445,7.812500,-9.216309,-96.374504"
"0.046265,-0.876831,-0.048096,3.540039,-15.014647,-102.661125"
"0.012573,-1.124023,-0.044067,-16.418457,-16.296387,-116.699211"
"-0.011597,-1.179199,-0.046631,-0.915527,-18.432617,-99.548332"
"-0.051880,-1.002197,0.022095,26.123045,-17.211914,-81.237785"
"-0.094727,-0.705078,0.045654,25.024412,-12.817382,-85.937492"
"-0.142090,-0.774902,-0.040649,-13.549804,3.051758,-130.310059"
"-0.153809,-1.003662,-0.187500,-51.696774,0.061035,-157.653809"
"-0.198730,-1.179321,-0.169312,-26.306150,-34.362793,-146.118164"
"-0.273804,-1.138428,0.106812,-38.208008,-40.832516,-137.207031"
"-0.335693,-1.025513,0.213257,-1.892090,-29.541014,-111.633293"
"-0.355469,-0.708740,0.079224,0.549316,3.417969,-107.177727"
"-0.371216,-0.947266,-0.095581,-20.324705,4.516602,-140.441895"
"-0.396240,-1.375000,-0.139648,-12.023925,-16.967773,-122.497551"
"-0.431030,-1.418213,0.013550,15.197753,-29.907225,-100.708000"
"-0.441650,-1.031128,0.116211,32.348633,-21.301268,-27.404783"
"-0.466431,-0.408203,0.048950,40.283199,-7.690429,-49.865719"
"-0.488647,-0.343018,0.024170,24.047850,-2.197266,-83.557121"
"-0.485962,-0.915039,-0.196899,-34.729004,11.718749,-145.141602"
"-0.491577,-1.297485,-0.269531,-85.266106,-6.286621,-145.751953"
"-0.526367,-1.538086,-0.093506,-56.457516,-39.367676,-70.129395"
"-0.544678,-1.033691,0.075684,0.854492,-43.579098,-32.897949"
"-0.577026,-0.511597,0.024902,47.241207,-30.090330,-11.535644"
"-0.591187,-0.567627,0.019043,19.165039,-21.057127,-50.537106"
"-0.577881,-0.748169,0.001221,-12.329101,-12.939452,-80.200195"
"-0.570923,-1.171631,-0.019531,-32.531738,-14.587401,-69.091797"
"-0.591919,-1.300903,0.084595,-31.188963,-17.150879,-47.607418"
"-0.615234,-1.041382,0.106079,-6.408691,-8.972168,0.610352"
"-0.615479,-0.863525,0.029419,16.662598,5.859375,19.348145"
"-0.598145,-0.745483,-0.119629,24.353025,6.652832,15.319823"
"-0.597534,-0.887451,-0.083740,33.508301,-2.319336,6.042480"
"-0.595825,-1.013306,-0.034912,8.300781,-6.408691,9.338379"
"-0.604614,-1.281616,0.021118,-30.700682,-4.699707,32.836914"
"-0.630249,-1.306152,0.058105,-34.118652,-4.455566,53.344723"
"-0.633911,-1.017090,0.024414,0.671387,0.488281,95.703117"
"-0.620605,-0.866455,-0.032227,37.048340,7.324218,107.177727"
"-0.567627,-0.992432,-0.078735,44.372555,6.469726,101.684563"
"-0.540771,-1.202515,-0.038940,44.494625,0.610352,108.947746"
"-0.531616,-1.237549,-0.001099,20.507811,-0.122070,134.399414"
"-0.508911,-1.261597,0.021118,0.671387,4.028320,146.911621"
"-0.496338,-1.248291,-0.073364,-20.446775,14.099120,174.804672"
"-0.482178,-1.156738,-0.092285,11.962890,10.864257,206.726059"
"-0.420654,-0.866455,-0.104004,25.024412,2.563476,215.942368"
"-0.322754,-0.846558,-0.081299,23.986814,0.183105,208.679184"
"-0.239624,-1.080566,-0.031006,7.751464,3.173828,188.598618"
"-0.211426,-1.203735,0.005005,-2.563476,15.502929,183.776840"
"-0.196045,-1.182495,-0.079712,0.000000,22.033689,193.054184"
"-0.150269,-0.883789,-0.163574,12.512206,14.282226,210.144028"
"-0.054321,-0.834106,-0.106567,26.306150,-0.549316,198.974594"
"-0.006470,-0.932129,-0.067139,23.925779,0.915527,181.518539"
"0.044678,-1.093506,-0.062744,20.935057,4.638672,181.884750"
"0.072021,-0.986694,-0.029175,10.925292,5.676269,194.091782"
"0.100098,-0.880615,-0.007690,-7.934570,10.803222,195.251450"
"0.186646,-0.772705,-0.074707,-9.521484,22.705076,180.114731"
"0.282349,-0.718994,-0.189575,-4.577637,23.803709,171.936020"
"0.340576,-0.834717,-0.187744,10.437011,13.488769,155.517578"
"0.348511,-0.859375,-0.106567,22.705076,4.150391,155.212402"
"0.360352,-0.846436,0.053955,7.019042,15.991210,163.574203"
"0.424927,-0.325806,-0.066406,2.868652,25.634764,161.376938"
"0.544922,-0.277344,-0.258789,-5.065917,34.240723,116.760246"
"0.582764,-0.370483,-0.306641,-13.793944,21.118162,75.683594"
"0.615112,-0.645386,-0.291260,-14.953612,3.906250,60.180660"
"0.591919,-0.758911,-0.155273,-2.563476,-3.784179,66.833496"
"0.588867,-0.516602,-0.019531,20.690916,-8.056641,83.618156"
"0.605591,-0.414673,-0.027222,5.676269,5.554199,71.228027"
"0.651001,-0.286621,-0.147339,-7.995605,11.657714,57.800289"
"0.687378,-0.248657,-0.265259,-35.949707,12.390136,25.207518"
"0.693848,-0.291870,-0.298096,-55.664059,0.061035,-8.056641"
"0.671021,-0.507202,-0.229614,-34.790039,-16.967773,-19.714355"
"0.628296,-0.550171,-0.043701,-13.366698,-21.362303,-15.563964"
"0.614746,-0.453491,0.032715,12.084960,-15.502929,-10.070800"
"0.616089,-0.428223,0.003174,-0.732422,0.061035,-21.606443"
"0.618286,-0.431763,-0.069580,-12.695312,4.882812,-31.188963"
"0.632568,-0.485474,-0.168091,-33.874512,8.605957,-50.109859"
"0.630249,-0.532349,-0.207642,-36.560059,2.685547,-63.476559"
"0.600830,-0.677002,-0.162842,-18.737793,-11.230468,-63.293453"
"0.574707,-0.698364,-0.034424,-5.859375,-15.197753,-58.715816"
"0.552368,-0.635742,-0.014038,7.812500,-11.535644,-53.833004"
"0.544189,-0.609741,-0.027710,0.610352,-3.234863,-62.316891"
"0.539673,-0.651367,-0.081787,-16.845703,3.723144,-79.162598"
"0.535889,-0.839722,-0.150024,-18.432617,4.028320,-83.129875"
"0.506592,-0.790283,-0.114746,-1.953125,-4.150391,-73.120117"
"0.489258,-0.743896,-0.080688,4.760742,-10.620116,-70.495605"
"0.469604,-0.685547,-0.035156,10.070800,-8.544922,-77.087402"
"0.440674,-0.576660,-0.071167,7.751464,-6.530761,-84.350578"
"0.406250,-0.790771,-0.108154,-18.127441,-4.455566,-113.098137"
"0.397705,-0.972656,-0.118164,-35.034180,-5.676269,-122.131340"
""
"-0.567993,-1.303711,-0.083252,-21.484373,-4.943848,10.131835"
"-0.597290,-1.310181,-0.036499,-24.902342,-7.385253,48.034664"
"-0.615601,-1.221191,-0.031372,13.122558,-5.126953,88.378899"
"-0.620361,-0.893433,-0.027466,30.883787,-3.967285,102.111809"
"-0.556152,-0.829346,-0.067505,24.719236,1.892090,98.571770"
"-0.526001,-0.985474,-0.105591,-4.455566,7.446289,82.031242"
"-0.499268,-1.383301,-0.129883,-26.000975,2.319336,104.736320"
"-0.494507,-1.427856,-0.102661,-31.372068,-1.403808,129.577637"
"-0.504761,-1.219604,-0.126465,-18.798828,-6.713867,178.649887"
"-0.496704,-0.785889,-0.040161,29.052732,-18.310547,207.458481"
"-0.432007,-0.701294,0.017456,36.621094,-13.183593,189.331039"
"-0.289063,-0.940308,-0.012695,23.193357,-1.342773,170.104965"
"-0.231934,-1.105469,-0.100586,8.789063,15.075683,156.250000"
"-0.214600,-1.076660,-0.135498,-12.756347,16.723633,162.292465"
"-0.189819,-1.093140,-0.193970,-41.625973,4.089355,167.907700"
"-0.168579,-1.015381,-0.121094,-30.517576,-3.906250,175.964340"
"-0.115601,-0.907227,0.011719,4.821777,-7.202148,181.701645"
"-0.081909,-0.950439,0.056641,9.521484,5.554199,173.400864"
"-0.000610,-0.990234,-0.007690,3.662109,15.075683,171.936020"
"0.066650,-1.156250,-0.093994,-21.362303,25.756834,168.212875"
"0.076660,-1.080933,-0.109741,-13.671874,20.263670,188.720688"
"0.145874,-0.633179,-0.123779,-5.859375,15.319823,179.443344"
"0.248535,-0.760376,-0.152710,-7.507324,15.502929,160.766586"
"0.282593,-0.975708,-0.092529,8.178711,9.765625,148.620605"
"0.306885,-0.822754,-0.032227,28.625486,5.615234,161.743149"
"0.372192,-0.549194,-0.091553,20.263670,13.488769,141.601562"
"0.448486,-0.588867,-0.170898,8.056641,11.840819,110.595695"
"0.479248,-0.632080,-0.156250,6.103515,7.629394,103.149406"
"0.495239,-0.679321,-0.060425,1.708984,4.089355,91.674797"
"0.529053,-0.539917,-0.058105,10.131835,10.498046,87.219231"
"0.573486,-0.502441,-0.158325,12.329101,12.268065,78.674316"
"0.589722,-0.437500,-0.196411,18.005371,6.713867,64.575195"
"0.595337,-0.388306,-0.172729,6.835937,-1.220703,45.166012"
"0.612061,-0.453125,-0.130493,-14.892577,-0.061035,20.751951"
"0.610352,-0.545288,-0.124878,-17.333984,0.366211,15.563964"
"0.612793,-0.352173,-0.136597,-7.385253,-2.197266,12.634276"
"0.611694,-0.280151,-0.150269,-11.657714,-4.638672,-10.009766"
"0.593750,-0.378784,-0.123779,-13.671874,-7.263183,-36.682129"
"0.570435,-0.526611,-0.070801,-12.695312,-6.591796,-43.212887"
"0.565796,-0.612183,-0.096313,-16.479492,-1.953125,-49.499508"
"0.568237,-0.678345,-0.116699,-21.972654,-1.220703,-51.147457"
"0.547363,-0.664795,-0.095215,-18.066406,-4.089355,-47.241207"
"0.532715,-0.569824,-0.034668,-9.277344,-5.737304,-46.997066"
"0.521973,-0.590210,-0.078125,-21.606443,2.502441,-61.828609"
"0.514282,-0.636353,-0.091187,-27.832029,2.258301,-76.904297"
"0.502686,-0.772949,-0.085937,-24.902342,0.854492,-80.993645"
"0.491455,-0.899048,-0.093750,-14.038085,0.793457,-79.833984"
"0.487061,-0.897095,-0.085937,1.342773,1.281738,-69.152832"
"0.476562,-0.815063,-0.095337,10.131835,1.831055,-65.307617"
"0.448120,-0.682129,-0.115112,9.155273,-0.061035,-68.054199"
"0.387085,-0.677124,-0.033325,-8.728027,-5.493164,-86.364738"
"0.372681,-0.754761,0.007446,-31.982420,0.061035,-106.933586"
"0.370972,-0.946289,-0.072876,-39.978027,6.164550,-110.534660"
"0.358032,-1.014526,-0.197754,-38.757324,5.065917,-103.271477"
"0.332397,-0.889404,-0.074463,4.394531,-11.596679,-91.552727"
